"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"LOC105374897",26.3285764930934,-0.0718010642126101,0.431408280249648,-0.166434135596702,0.867815312238486,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RPP40",197.121937364592,-0.162260007552355,0.161698046590583,-1.00347537260728,0.315631553575897,0.977677879788844,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LYRM4-AS1",18.1768724250813,0.270709976077721,0.560550790624568,0.482935677917953,0.62914140809599,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LYRM4",354.576431985238,-0.0624468933463088,0.124966285620073,-0.499709926052873,0.617279342219686,0.996219315932303,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PPP1R3G",11.0583749712684,0.682004903225242,0.609923172851919,1.11818165562767,0.263489417386803,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FARS2",186.499730750212,0.178319880713841,0.150393181280968,1.18569126070084,0.235744247063477,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NRN1",10.5396178532783,0.439727940336696,0.693036695925994,0.634494454509596,0.525758184735472,0.993684204407797,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RREB1",842.60965650818,0.110570812943636,0.0999686422777655,1.10605496307945,0.268702730406753,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SSR1",2639.79839015342,0.0770426721071897,0.0603054826193515,1.27754009686786,0.201411633769455,0.9584269816426,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RIOK1",402.808258569204,0.0409731300390063,0.106796859143468,0.383654822507133,0.701234301163166,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"DSP-AS1",39.8098458824351,-0.18453769795846,0.322009260276888,-0.573081959816248,0.566589201374386,0.996219315932303,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"DSP",6854.63107559703,0.177458501553258,0.109167980163926,1.62555450129963,0.104044460835168,0.916727529779793,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SNRNP48",390.08569324658,-0.139844675688461,0.129015071681637,-1.08394061147792,0.278391131600745,0.967585846465677,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"BMP6",465.884835303534,0.446914325944976,0.19952730426247,2.23986550410704,0.0250996557321055,0.730443183593661,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TXNDC5",172.864411850293,0.448862941920504,0.16335019577007,2.74785677362957,0.00599862066105155,0.466427275931407,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"EEF1E1",163.0865944391,-0.243025476435318,0.185464855173784,-1.31035864561833,0.190074536600702,0.9584269816426,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SLC35B3",285.284975149523,0.241604068580915,0.204439917104865,1.18178520125787,0.237290941223675,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TFAP2A",459.459147193916,-0.0733511515356062,0.226275750508677,-0.324167089803966,0.74581153642157,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TFAP2A-AS2",27.3966477220402,-0.200959408327413,0.398744586416722,-0.503980280041703,0.614275234625206,0.996219315932303,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TFAP2A-AS1",15.6219226205423,0.438026436727184,0.515385919549511,0.849899890765456,0.395380746321726,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PAK1IP1",13.4485079125397,0.651324973621596,0.550149351193019,1.18390573797674,0.23645037854383,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TMEM14C",15.054465796048,0.243091527452034,0.523824032206278,0.464070971368313,0.642596898652232,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TMEM14B",1498.12879714286,-0.221329830058346,0.0686130458450792,-3.22576890928417,0.00125634752029928,0.266259623103428,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"MAK",52.7407971066777,-0.3497150266695,0.335565381973482,-1.04216658051198,0.297334454305323,0.970886834614605,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SYCP2L",102.535115830449,-0.248045563512595,0.250304145664421,-0.990976649044981,0.321696982596515,0.978136489260531,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ELOVL2",352.591686546607,0.0825006478975177,0.174602024587842,0.472506822829032,0.636565072909094,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SMIM13",772.067819427615,0.101670483417598,0.0759585964559072,1.33849871063134,0.180733920373546,0.954385147894404,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NEDD9",2982.26807276817,0.222236428574313,0.204221649689753,1.08821189580991,0.276501574370666,0.967585846465677,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TMEM170B",128.632830863579,0.116376123796265,0.181141391944141,0.642460138719439,0.520574462928327,0.993684204407797,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ADTRP",13.6454582234038,0.460228680182174,0.670247922493569,0.686654392705842,0.492300543405442,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"HIVEP1",1125.69143961281,0.0272264342521281,0.0755258067770551,0.360491802921059,0.718479385478654,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"EDN1",5153.00769676585,0.248612679098247,0.213208905809548,1.16605203780898,0.24359340662401,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC100130357",13.1949507694911,-0.246432928407018,0.676269653588052,-0.3644003942799,0.715559041091766,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TBC1D7",12.076010744418,-0.0493476424705994,0.576696496002738,-0.085569520211486,0.93180862891004,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"GFOD1",219.916468035389,0.0252484792646365,0.225579914740139,0.11192698292187,0.910881301749272,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC105374937",14.9660583007429,-0.454648458218448,0.549455646633906,-0.827452517785067,0.407980624212081,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SIRT5",116.386876511819,0.049261869874878,0.189534373291965,0.259909952053886,0.794933234399998,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NOL7",1060.11881912553,-0.0391885011947341,0.108219270377802,-0.362121284480332,0.717261398785174,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RANBP9",618.853129365483,0.0566334617595781,0.126266055093467,0.448524836842776,0.653774465497676,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"MCUR1",754.507484728506,0.0266352338059881,0.0820519561622746,0.324614245068227,0.745473044621081,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RNF182",65.5971979478753,-0.569903125326715,0.474870321498526,-1.20012369593513,0.230091303957457,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"CD83",110.977013136242,-0.196382149560179,0.233494840706166,-0.841055626609368,0.400316772196584,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"JARID2",530.478173342427,0.0294815238747945,0.203243386780066,0.145055267686013,0.88466723587567,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"DTNBP1",180.239581416099,-0.0296281315524353,0.161544641458107,-0.183405226474929,0.854480075290301,0.997716891902801,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"MYLIP",420.758163066043,0.15419086928214,0.174388844740877,0.88417851217061,0.376599855982691,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"GMPR",137.251354426678,0.557288377445848,0.39748564611827,1.40203396748578,0.160905103666912,0.949128060869812,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
