"","AHT_CIM7_R3","AHT_CIM7_R2","AHT_CIM7_R1","AHT_None_R3","AHT_None_R2","AHT_None_R1","WT_CIM7_R3","WT_CIM7_R2","WT_CIM7_R1","WT_None_R3","WT_None_R2","WT_None_R1"
"PDIA5",749.549839063466,683.093988784164,672.285248255912,590.279323632861,761.991672320669,628.859114781529,739.352343660064,725.983375274777,652.124671951295,702.633728703145,679.469615428407,665.069285259775
"MIR7110",3.95888999505352,10.6919059114043,7.46983609173236,0.871904466222838,2.58302261803617,2.03185497506148,1.86705137287895,5.16976971202791,6.51194394245231,5.92939855445692,1.14196574021581,2.72569379204826
"SEC22A",187.387459765866,226.906003230914,251.840188235548,257.211817535737,268.634352275761,226.551829719355,214.710907881079,222.3000976172,227.918037985831,240.140641455505,218.11545638122,213.285539227776
"ADCY5",18.4748199769164,30.8877281885013,24.5437471585492,11.3347580608969,28.4132487983978,26.4141146757993,17.73698804235,25.8488485601396,12.09361017884,15.8117294785518,20.5553833238846,20.4427034403619
"LOC124909420",0,0,0,0,0,0,0,0,0,0,0,0
"HACD2",2033.54982745916,2046.90598726107,2037.13101415958,2238.17876479402,2194.27771402172,2089.76284185073,2065.89234409056,1978.54472264611,1948.0015164993,2175.10103639328,2012.14363426026,1974.76515233896
"MYLK-AS1",5.27851999340469,5.93994772855795,5.33559720838026,1.74380893244568,5.16604523607233,6.09556492518445,5.60115411863685,5.16976971202791,5.58166623638769,1.97646618481897,17.1294861032372,5.45138758409652
"MYLK",725.796499093144,601.122710130065,711.768667597926,804.767822323679,622.508450946716,804.614570124347,614.259901677174,573.844438035098,707.011056609108,747.104217861572,593.822184912221,674.609213531944
"LOC124909421",1.31962999835117,0,2.1342388833521,0,1.29151130901808,2.03185497506148,0,0,1.86055541212923,0,2.28393148043162,0
"MYLK-AS2",0,0,0,0,0,0,0,0,0,0,0,0
"LOC105369194",5.27851999340469,7.12793727426954,10.6711944167605,6.9752357297827,9.04057916312658,11.1752023628381,9.33525686439475,6.64684677260732,9.30277706064615,5.92939855445692,5.70982870107905,9.53992827216891
"LOC124906346",1.31962999835117,0,2.1342388833521,0,0,0,0,0,0,0,1.14196574021581,0
"CCDC14",600.431649249783,646.266312867105,637.070306680603,670.494534525362,488.191274808835,634.954679706713,550.78015499929,614.464057201032,516.304126865862,481.26951600342,585.828424730711,612.599679762846
"ROPN1",0,0,0,0,0,0,0,0,0,0,0,0
"KALRN",36.9496399538328,15.4438640942507,27.7451054835773,20.9257071893481,16.7896470172351,23.366332213207,27.0722449067448,23.6332329692705,37.2111082425846,25.6940604026467,18.271451843453,30.6640551605429
"MIR5002",0,0,0,0,0,0,0,0,0,0,0,0
"LOC105374077",0,0,0,0,0,0,0,0,0,0,0,0
"MIR6083",0,0,0,0,0,0,0,0,0,0,0,0
"LOC105374076",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124906276",0,0,0,0,0,0,0,0,0,0,0,0
"UMPS",675.6505591558,768.629236075399,807.809417348771,653.056445200905,760.700161011651,691.846619008434,795.363884846432,767.341532971,720.034944494012,829.12756453156,886.165414407469,784.999812109899
"MIR544B",0,2.37597909142318,1.06711944167605,1.74380893244568,0,0,0.933525686439475,0,0,0,0,0
"ITGB5",10113.6443073634,10302.2453404109,9676.63909711843,7955.25634981717,9783.19816581198,8861.93547373065,10538.5714742152,10623.1382196871,10176.3078266408,10681.8114958541,10726.4841978471,9180.13669161854
"LOC124909422",9.2374099884582,14.2558745485391,11.7383138584366,7.84714019600554,12.9151130901808,9.14334738777667,13.0693596101526,13.2936935452146,13.0238878849046,18.7764287557803,7.99376018151067,9.53992827216891
"LOC124906277",0,0,1.06711944167605,2.61571339866851,5.16604523607233,2.03185497506148,1.86705137287895,0.738538530289702,0.930277706064615,0.988233092409487,1.14196574021581,2.72569379204826
"MUC13",996.320648755135,1652.49345808482,3366.76183848794,483.906978753675,1111.99123706457,2565.21690601512,1374.14981043891,1447.53551936782,2297.7859339796,1149.31508647223,1346.37760771444,3420.06428557255
"HEG1",899.987658875499,1026.42296749481,1103.40150269304,681.829292586259,973.799526999634,1000.68857521778,1081.02274489691,1092.29848629847,1014.9329773165,1014.91538590454,1208.19975314833,1215.65943125352
"LOC124909423",0,0,0,1.74380893244568,0,0,0,0,0,0,0,0
"LOC124906278",0,0,0,0,0,0,0,0,0,0.988233092409487,1.14196574021581,0
"SLC12A8",7.91777999010703,8.31592681998113,2.1342388833521,17.4380893244568,9.04057916312658,6.09556492518445,17.73698804235,13.2936935452146,9.30277706064615,10.8705640165044,6.85179444129486,8.85850482415684
"MIR5092",0,0,0,0,0,0,0,0,0,0,0,0
"ZNF148",692.805749134365,687.845946967011,795.003984048658,803.024013391233,703.873663414855,731.467791022133,695.476636397409,722.290682623328,670.730226072588,798.492338666866,713.728587634881,817.708137614478
"LOC105374080",2.63925999670234,0,0,0.871904466222838,0,0,0,0.738538530289702,0.930277706064615,0,2.28393148043162,0.681423448012065
"LOC105374081",0,0,0,0,0,0,0,0,0,0,0,0.681423448012065
"LOC124906351",0,0,0,0,0,0,0,0,0,0,0,0
